,County,Passenger Miles,County_Name,State_FIPS,County_Code,County_FIPS,ZIP_Code,File_Date,Three Digit County Code
0,Albany,589476264999950.0,Albany,36,1,36001,12007,7/25/2007,001
2,Broome,7297643.0,Broome,36,7,36007,13730,7/25/2007,007
9,Dutchess,29334390.0,Dutchess,36,27,36027,10516,7/25/2007,027
10,Erie,78051594.0,Erie,36,29,36029,14001,7/25/2007,029
18,Kings,174641774893198.0,Kings,36,47,36047,11201,7/25/2007,047
20,Monroe,531316800.0,Monroe,36,55,36055,14410,7/25/2007,055
22,Nassau,150113199482109.0,Nassau,36,59,36059,11001,7/25/2007,059
23,New York,1.5537701711584653e+58,New York,36,61,36061,10001,7/25/2007,061
26,Onondaga,4010834500.0,Onondaga,36,67,36067,13020,7/25/2007,067
31,Putnam,1063314.0,Putnam,36,79,36079,10509,7/25/2007,079
32,Queens,2154354158.0,Queens,36,81,36081,11001,7/25/2007,081
34,Rockland,1.898566925284803e+18,Rockland,36,87,36087,10901,7/25/2007,087
40,Suffolk,3.2954728762635704e+21,Suffolk,36,103,36103,501,7/25/2007,103
42,Tompkins,10179113.0,Tompkins,36,109,36109,13045,7/25/2007,109
43,Ulster,4159793441082540.0,Ulster,36,111,36111,12401,7/25/2007,111
46,Westchester,143792577.0,Westchester,36,119,36119,10470,7/25/2007,119
