Name,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,1,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,936",HR,DO,"5,342",,$1.30 ,,0.73 ,,$249.69 ,,140.8 ,,$1.77 ,,$0.45 ,,,"$3,500,448,144 ",,"$4,788,183,315 ",,"2,699,537,600 ",,"19,176,403 ",,"10,683,847,750 ",,"349,479,185 ",,No,,,,Hide questionable data tags,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,936",CB,DO,453,,$6.10 ,,0.34 ,,$383.14 ,,21.4 ,,$17.89 ,,$1.42 ,,,"$75,564,999 ",,"$221,620,597 ",,"12,387,027 ",,"578,430 ",,"155,687,450 ",,"9,040,353 ",,No,,,,Show questionable data tags,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,936",MB,DO,"3,257",,$1.24 ,,0.34 ,,$206.56 ,,56.7 ,,$3.65 ,,$1.74 ,,,"$859,309,666 ",,"$2,520,243,905 ",,"691,273,010 ",,"12,201,259 ",,"1,450,951,265 ",,"85,993,623 ",,No,,2,,1,,2
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,936",DR,PT,"1,738",,$2.02 ,,0.02 ,,$104.02 ,,1.3 ,,$81.89 ,,$9.02 ,,,"$11,718,772 ",,"$474,111,585 ",,"5,789,381 ",,"4,557,799 ",,"52,578,548 ",,"43,598,150 ",,No,,,,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,936",RB,DO,146,,$1.07 ,,0.34 ,,$188.50 ,,60.0 ,,$3.14 ,,$1.70 ,,,"$33,907,371 ",,"$99,445,139 ",,"31,656,362 ",,"527,568 ",,"58,472,429 ",,"3,455,644 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,013",DR,PT,528,,$2.15 ,,0.04 ,,$105.48 ,,1.7 ,,$60.29 ,,$9.81 ,,,"$3,463,966 ",,"$97,067,992 ",,"1,610,072 ",,"920,219 ",,"9,898,392 ",,"15,341,120 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,013",LR,PT,42,,$0.97 ,,0.16 ,,$752.33 ,,125.6 ,,$5.99 ,,$1.53 ,,,"$15,059,691 ",,"$92,685,527 ",,"15,476,385 ",,"123,198 ",,"60,426,164 ",,"2,093,179 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,013",VP,PT,195,,$2.94 ,,0.21 ,,$97.34 ,,7.0 ,,$13.82 ,,$0.37 ,,,"$2,138,061 ",,"$10,043,909 ",,"727,002 ",,"103,181 ",,"27,415,332 ",,"4,495,514 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,013",MB,DO,"1,853",,$2.61 ,,0.47 ,,$160.22 ,,28.6 ,,$5.61 ,,$0.72 ,,,"$376,157,230 ",,"$806,911,681 ",,"143,878,120 ",,"5,036,295 ",,"1,113,473,813 ",,"71,664,794 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,013",MB,PT,180,,$1.05 ,,0.18 ,,$99.75 ,,17.3 ,,$5.78 ,,$1.43 ,,,"$11,072,354 ",,"$61,130,212 ",,"10,574,069 ",,"612,835 ",,"42,682,026 ",,"7,270,944 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,013",YR,PT,17,,$0.85 ,,0.07 ,,$616.18 ,,54.3 ,,$11.35 ,,$0.78 ,,,"$2,299,664 ",,"$30,796,596 ",,"2,713,160 ",,"49,980 ",,"39,719,834 ",,"1,272,963 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,013",LR,DO,14,,$1.01 ,,0.28 ,,$382.61 ,,107.3 ,,$3.57 ,,$1.59 ,,,"$5,614,088 ",,"$19,726,085 ",,"5,531,921 ",,"51,556 ",,"12,379,497 ",,"506,091 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,013",CR,DO,"1,184",,$6.53 ,,0.60 ,,$516.24 ,,47.1 ,,$10.97 ,,$0.47 ,,,"$578,558,201 ",,"$971,275,617 ",,"88,578,277 ",,"1,881,455 ",,"2,077,067,508 ",,"61,456,337 ",,No,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,505",HR,DO,68,,$0.78 ,,0.22 ,,$502.92 ,,142.1 ,,$3.54 ,,$0.71 ,,,"$35,622,352 ",,"$161,559,460 ",,"45,632,924 ",,"321,242 ",,"228,179,477 ",,"7,010,664 ",,No,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,505",RB,DO,33,,$0.78 ,,0.18 ,,$261.88 ,,61.3 ,,$4.27 ,,$0.65 ,,,"$5,869,463 ",,"$32,258,690 ",,"7,548,090 ",,"123,183 ",,"49,520,717 ",,"1,971,687 ",,No,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,505",LR,DO,181,,$0.78 ,,0.14 ,,$464.03 ,,85.8 ,,$5.41 ,,$0.74 ,,,"$52,570,228 ",,"$366,354,851 ",,"67,764,920 ",,"789,513 ",,"495,532,352 ",,"16,699,100 ",,No,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,505",MB,DO,"1,750",,$0.82 ,,0.20 ,,$176.84 ,,42.5 ,,$4.16 ,,$1.03 ,,,"$219,562,101 ",,"$1,119,992,157 ",,"269,169,596 ",,"6,333,193 ",,"1,084,089,074 ",,"66,448,233 ",,No,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,505",VP,PT,"1,340",,$3.93 ,,0.95 ,,$20.82 ,,5.0 ,,$4.16 ,,$0.09 ,,,"$14,776,930 ",,"$15,624,034 ",,"3,756,783 ",,"750,387 ",,"168,255,674 ",,"30,723,839 ",,No,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,505",MB,PT,133,,$0.43 ,,0.12 ,,$96.51 ,,27.7 ,,$3.48 ,,$0.74 ,,,"$5,721,070 ",,"$46,207,678 ",,"13,281,369 ",,"478,769 ",,"62,702,742 ",,"5,708,735 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,154",MB,DO,986,,$1.38 ,,0.27 ,,$173.96 ,,34.0 ,,$5.12 ,,$1.08 ,,,"$139,520,130 ",,"$517,526,931 ",,"101,129,569 ",,"2,974,921 ",,"480,141,778 ",,"32,853,414 ",,No,,,,,,
