Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,1,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,856",HR,DO,"5,364",,$1.33 ,,0.69 ,,$265.27 ,,137.5 ,,$1.93 ,,$0.51 ,,,"$3,503,324,236 ",,"$5,068,977,553 ",,"2,628,355,851 ",,"19,108,654 ",,"9,989,099,073 ",,"348,452,183 ",,No,,,,Hide questionable data tags,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,856",CB,DO,488,,$5.97 ,,0.33 ,,$388.94 ,,21.4 ,,$18.17 ,,$1.42 ,,,"$74,061,339 ",,"$225,396,480 ",,"12,403,449 ",,"579,510 ",,"158,586,769 ",,"9,246,853 ",,No,,,,Show questionable data tags,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,856",MB,DO,"3,256",,$1.22 ,,0.33 ,,$211.19 ,,57.0 ,,$3.70 ,,$1.74 ,,,"$842,210,348 ",,"$2,563,162,504 ",,"691,981,427 ",,"12,136,604 ",,"1,472,423,041 ",,"85,824,679 ",,No,,2,,1,,2
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,856",DR,PT,"1,602",,$2.01 ,,0.02 ,,$106.67 ,,1.2 ,,$89.70 ,,$10.03 ,,,"$10,235,744 ",,"$456,195,515 ",,"5,086,003 ",,"4,276,565 ",,"45,490,979 ",,"39,961,650 ",,No,,,,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,856",RB,DO,146,,$1.10 ,,0.33 ,,$199.23 ,,59.6 ,,$3.34 ,,$1.80 ,,,"$33,232,652 ",,"$101,139,444 ",,"30,275,821 ",,"507,644 ",,"56,084,904 ",,"3,314,181 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,873",LR,PT,42,,$0.96 ,,0.15 ,,$775.87 ,,122.8 ,,$6.32 ,,$1.64 ,,,"$14,949,476 ",,"$98,086,952 ",,"15,526,126 ",,"126,422 ",,"59,777,983 ",,"2,084,803 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,873",DR,PT,394,,$1.81 ,,0.03 ,,$98.05 ,,1.7 ,,$56.99 ,,$9.20 ,,,"$2,965,134 ",,"$93,220,848 ",,"1,635,781 ",,"950,762 ",,"10,131,563 ",,"15,581,659 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,873",VP,PT,189,,$2.81 ,,0.20 ,,$96.24 ,,6.9 ,,$13.86 ,,$0.37 ,,,"$1,903,621 ",,"$9,389,667 ",,"677,560 ",,"97,569 ",,"25,137,891 ",,"4,246,718 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,873",MB,DO,"1,854",,$2.65 ,,0.45 ,,$165.38 ,,28.1 ,,$5.89 ,,$0.78 ,,,"$375,610,342 ",,"$833,933,765 ",,"141,592,389 ",,"5,042,652 ",,"1,066,078,886 ",,"73,150,038 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,873",MB,PT,178,,$0.98 ,,0.15 ,,$106.87 ,,16.9 ,,$6.33 ,,$1.53 ,,,"$9,813,104 ",,"$63,639,745 ",,"10,048,246 ",,"595,506 ",,"41,493,521 ",,"7,123,448 ",,No,,,,,,
