,County,Population,Index_Total,Crime_Rate,County_Name,Three Digit County Code
0,Albany,304752,8005.0,2626.725993594792,Albany,001
1,Allegany,45915,456.0,993.1394968964391,Allegany,003
2,Bronx,1418187,35255.0,2485.92040400878,Bronx,005
3,Broome,190737,5173.0,2712.1114414088506,Broome,007
4,Cattaraugus,76230,935.0,1226.5512265512266,Cattaraugus,009
5,Cayuga,76450,1216.0,1590.5820797907131,Cayuga,011
6,Chautauqua,126636,2796.0,2207.9029659812377,Chautauqua,013
7,Chemung,83404,1623.0,1945.9498345403097,Chemung,015
8,Chenango,47234,784.0,1659.821315154338,Chenango,017
9,Clinton,80031,1172.0,1464.4325323936973,Clinton,019
10,Columbia,59582,720.0,1208.4186499278305,Columbia,021
11,Cortland,47410,740.0,1560.8521408985446,Cortland,023
12,Delaware,44356,550.0,1239.967535395437,Delaware,025
13,Dutchess,293934,3549.0,1207.4139092449325,Dutchess,027
14,Erie,918813,20949.0,2280.00692197433,Erie,029
15,Essex,36987,329.0,889.5017168194231,Essex,031
16,Franklin,50102,512.0,1021.9152928026826,Franklin,033
17,Fulton,53336,1012.0,1897.4051297435128,Fulton,035
18,Genesee,57414,1015.0,1767.861497195806,Genesee,037
19,Greene,47211,591.0,1251.826904746775,Greene,039
20,Hamilton,4438,29.0,653.4474988733664,Hamilton,041
21,Herkimer,61356,782.0,1274.5289784210183,Herkimer,043
22,Jefferson,110143,1879.0,1705.9640648974514,Jefferson,045
23,Kings,2562329,47735.0,1862.9535863661538,Kings,047
24,Lewis,26329,162.0,615.2911238558244,Lewis,049
25,Livingston,62893,600.0,954.0012402016122,Livingston,051
26,Madison,70875,835.0,1178.1305114638449,Madison,053
27,Monroe,742605,16523.0,2225.0052181173032,Monroe,055
28,Montgomery,49355,688.0,1393.9823726066254,Montgomery,057
29,Nassau,1356073,13387.0,987.1887427889206,Nassau,059
30,New York,1632326,49858.0,3054.4143755597843,New York,061
31,Niagara,209563,4171.0,1990.3322628517437,Niagara,063
32,Oneida,228240,4558.0,1997.0206799859798,Oneida,065
33,Onondaga,460870,9917.0,2151.799856792588,Onondaga,067
34,Ontario,109984,1472.0,1338.376491125982,Ontario,069
35,Orange,384950,5255.0,1365.1123522535395,Orange,071
36,Orleans,40351,486.0,1204.4311169487746,Orleans,073
37,Oswego,116934,1891.0,1617.1515555783603,Oswego,075
38,Otsego,59347,624.0,1051.4432069017812,Otsego,077
39,Putnam,98511,377.0,382.6983788612439,Putnam,079
40,Queens,2253942,32483.0,1441.1639696141249,Queens,081
41,Rensselaer,158981,3207.0,2017.2221837829677,Rensselaer,083
42,Richmond,476141,4789.0,1005.794502048763,Richmond,085
43,Rockland,326352,2882.0,883.0955532676373,Rockland,087
44,Saratoga,229635,2317.0,1008.9925316262766,Saratoga,091
45,Schenectady,155548,3954.0,2541.9806104867953,Schenectady,093
46,Schoharie,31052,235.0,756.7950534587144,Schoharie,095
47,Schuyler,17812,66.0,370.5367168201213,Schuyler,097
48,Seneca,34189,440.0,1286.9636432770774,Seneca,099
49,St. Lawrence,107766,1114.0,1033.7212107714863,St. Lawrence,089
50,Steuben,95328,904.0,948.3048002685465,Steuben,101
51,Suffolk,1478325,18194.0,1230.7171968274906,Suffolk,103
52,Sullivan,75551,1018.0,1347.434183531654,Sullivan,105
53,Tioga,48221,396.0,821.218970987744,Tioga,107
54,Tompkins,101971,1866.0,1829.932039501427,Tompkins,109
55,Ulster,177933,2114.0,1188.087650969747,Ulster,111
56,Warren,63980,729.0,1139.4185683025946,Warren,113
57,Washington,61168,344.0,562.3855610776876,Washington,115
58,Wayne,89816,1225.0,1363.8995279237552,Wayne,117
59,Westchester,968467,9664.0,997.8656990893855,Westchester,119
60,Wyoming,39858,257.0,644.7890009533845,Wyoming,121
61,Yates,24902,187.0,750.943699301261,Yates,123
