FIPS Code,Geography,Year,Program Type,Population
36001,Albany,2021,Postcensal Population Estimate,313743
36003,Allegany,2021,Postcensal Population Estimate,46106
36005,Bronx,2021,Postcensal Population Estimate,1424948
36007,Broome,2021,Postcensal Population Estimate,197240
36009,Cattaraugus,2021,Postcensal Population Estimate,76426
36011,Cayuga,2021,Postcensal Population Estimate,75880
36013,Chautauqua,2021,Postcensal Population Estimate,126807
36015,Chemung,2021,Postcensal Population Estimate,83045
36017,Chenango,2021,Postcensal Population Estimate,46537
36019,Clinton,2021,Postcensal Population Estimate,79596
36021,Columbia,2021,Postcensal Population Estimate,61778
36023,Cortland,2021,Postcensal Population Estimate,46311
36025,Delaware,2021,Postcensal Population Estimate,44378
36027,Dutchess,2021,Postcensal Population Estimate,297112
36029,Erie,2021,Postcensal Population Estimate,950683
36031,Essex,2021,Postcensal Population Estimate,37268
36033,Franklin,2021,Postcensal Population Estimate,47456
36035,Fulton,2021,Postcensal Population Estimate,53116
36037,Genesee,2021,Postcensal Population Estimate,57853
36039,Greene,2021,Postcensal Population Estimate,48499
36041,Hamilton,2021,Postcensal Population Estimate,5119
36043,Herkimer,2021,Postcensal Population Estimate,59937
36045,Jefferson,2021,Postcensal Population Estimate,116295
36047,Kings,2021,Postcensal Population Estimate,2641052
36049,Lewis,2021,Postcensal Population Estimate,26573
36051,Livingston,2021,Postcensal Population Estimate,61578
36053,Madison,2021,Postcensal Population Estimate,67658
36055,Monroe,2021,Postcensal Population Estimate,755160
36057,Montgomery,2021,Postcensal Population Estimate,49558
36059,Nassau,2021,Postcensal Population Estimate,1390907
36061,New York,2021,Postcensal Population Estimate,1576876
36063,Niagara,2021,Postcensal Population Estimate,211653
36065,Oneida,2021,Postcensal Population Estimate,230274
36067,Onondaga,2021,Postcensal Population Estimate,473236
36069,Ontario,2021,Postcensal Population Estimate,112508
36071,Orange,2021,Postcensal Population Estimate,404525
36073,Orleans,2021,Postcensal Population Estimate,40191
36075,Oswego,2021,Postcensal Population Estimate,117387
36077,Otsego,2021,Postcensal Population Estimate,58123
36079,Putnam,2021,Postcensal Population Estimate,97936
36081,Queens,2021,Postcensal Population Estimate,2331143
