County Name,State FIPS,County Code,County FIPS,ZIP Code,File Date
Albany,36,1,36001,12007,7/25/2007
Allegany,36,3,36003,14024,7/25/2007
Bronx,36,5,36005,10451,7/25/2007
Broome,36,7,36007,13730,7/25/2007
Cattaraugus,36,9,36009,14009,7/25/2007
Cayuga,36,11,36011,13021,7/25/2007
Chautauqua,36,13,36013,14048,7/25/2007
Chemung,36,15,36015,14805,7/25/2007
Chenango,36,17,36017,13040,7/25/2007
Clinton,36,19,36019,12901,7/25/2007
Columbia,36,21,36021,12017,7/25/2007
Cortland,36,23,36023,13040,7/25/2007
Delaware,36,25,36025,12093,7/25/2007
Dutchess,36,27,36027,10516,7/25/2007
Erie,36,29,36029,14001,7/25/2007
Essex,36,31,36031,12836,7/25/2007
Franklin,36,33,36033,12912,7/25/2007
Fulton,36,35,36035,12010,7/25/2007
Genesee,36,37,36037,14001,7/25/2007
Greene,36,39,36039,12015,7/25/2007
Hamilton,36,41,36041,12032,7/25/2007
Herkimer,36,43,36043,13304,7/25/2007
Jefferson,36,45,36045,13083,7/25/2007
Kings,36,47,36047,11201,7/25/2007
Lewis,36,49,36049,13305,7/25/2007
Livingston,36,51,36051,14414,7/25/2007
Madison,36,53,36053,13030,7/25/2007
Monroe,36,55,36055,14410,7/25/2007
Montgomery,36,57,36057,12010,7/25/2007
Nassau,36,59,36059,11001,7/25/2007
New York,36,61,36061,10001,7/25/2007
Niagara,36,63,36063,14001,7/25/2007
Oneida,36,65,36065,13032,7/25/2007
Onondaga,36,67,36067,13020,7/25/2007
Ontario,36,69,36069,14424,7/25/2007
Orange,36,71,36071,10910,7/25/2007
Orleans,36,73,36073,14058,7/25/2007
Oswego,36,75,36075,13028,7/25/2007
Otsego,36,77,36077,12036,7/25/2007
Putnam,36,79,36079,10509,7/25/2007
Queens,36,81,36081,11001,7/25/2007
Rensselaer,36,83,36083,12018,7/25/2007
Richmond,36,85,36085,10301,7/25/2007
Rockland,36,87,36087,10901,7/25/2007
Saratoga,36,91,36091,12010,7/25/2007
Schenectady,36,93,36093,12008,7/25/2007
Schoharie,36,95,36095,12023,7/25/2007
Schuyler,36,97,36097,14805,7/25/2007
Seneca,36,99,36099,13065,7/25/2007
Steuben,36,101,36101,14418,7/25/2007
St. Lawrence,36,89,36089,12914,7/25/2007
Suffolk,36,103,36103,501,7/25/2007
Sullivan,36,105,36105,10940,7/25/2007
Tioga,36,107,36107,13732,7/25/2007
Tompkins,36,109,36109,13045,7/25/2007
Ulster,36,111,36111,12401,7/25/2007
Warren,36,113,36113,12801,7/25/2007
Washington,36,115,36115,12028,7/25/2007
Wayne,36,117,36117,13143,7/25/2007
Westchester,36,119,36119,10470,7/25/2007
Wyoming,36,121,36121,14004,7/25/2007
Yates,36,123,36123,14415,7/25/2007
